stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
036006728728,,"Southwood Gardens",,51.550283,-0.727384,,,,,,
036006186187,,"Hillcrest Avenue",,51.551914,-0.726862,,,,,,
036006184185,,"The Shaw",,51.552902,-0.730974,,,,,,
036006182182,,"Broom Hill",,51.554909,-0.731914,,,,,,
036006180180,,"High Road",,51.557226,-0.732527,,,,,,
036006193194,,"St Elizabeth's Church",,51.558504,-0.728482,,,,,,
036006191192,,"Medical Centre",,51.557983,-0.726044,,,,,,
036006190190,,"Cookham Rise Railway Station",,51.557771,-0.720611,,,,,,
036006195195,,"Cookham Village Memorial",,51.559913,-0.710886,,,,,,
040000003924,,"Riversdale South",,51.566006,-0.706486,,,,,,
040000003844,,"Ferry Lane",,51.569672,-0.707897,,,,,,
040000003842,,"Hedsor Road",,51.572278,-0.709324,,,,,,
040000003885,,"Fennels Farm Road",,51.604698,-0.710542,,,,,,
040000003883,,"Oakland Way",,51.604674,-0.713258,,,,,,
040000003852,,Highlands,,51.596944,-0.705362,,,,,,
040000003854,,"Green Dragon Lane",,51.594695,-0.701976,,,,,,
040000003877,,"Whitepit Lane",,51.595083,-0.695612,,,,,,
040000008002,,"Whitepit Lane Bottom",,51.58801,-0.684125,,,,,,
040000008001,,"Whitepit Lane Bottom",,51.587954,-0.684167,,,,,,
040000003926,,"Whitepit Lane",,51.59516,-0.696072,,,,,,
040000003880,,"Oakland Way",,51.605093,-0.712885,,,,,,
040000003882,,"Fennels Farm Road",,51.604761,-0.710483,,,,,,
040000002958,,"Bus Station",,51.631298,-0.756544,,,,,,
040000003739,,"Western Dene",,51.661072,-0.712514,,,,,,
040000003737,,"Primrose Hill",,51.664851,-0.71514,,,,,,
040000003093,,"Honeysuckle Road",,51.664128,-0.717286,,,,,,
040000003091,,"George's Hill",,51.663316,-0.720403,,,,,,
040000002013,,"Copes Road",,51.673336,-0.719021,,,,,,
040000002015,,"Spurlands End Road",,51.676896,-0.721394,,,,,,
040000002017,,"Heath End Road",,51.678001,-0.722968,,,,,,
040000002019,,"Stag Lane",,51.67523,-0.727009,,,,,,
040000002021,,"The Common",,51.675027,-0.733147,,,,,,
040000002027,,"Cherry Tree Close",,51.677929,-0.734556,,,,,,
040000002029,,"Peterley Corner",,51.68468,-0.734411,,,,,,
040000002031,,"Holy Trinity Church",,51.689393,-0.736232,,,,,,
040000002033,,"Hildreth Road",,51.69291,-0.73965,,,,,,
040000002035,,"Sixty Acres Road",,51.696586,-0.742905,,,,,,
040000002037,,"Village Hall",,51.698977,-0.742781,,,,,,
